uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler,_order:5000
694AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,B POSITIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: B, Rh positive.",Finding,N/A,,,,,,,,,,,,,,
887AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Serum glucose Imported,Laboratory measurement of the glucose level in the blood in mg/ml,LabTest,Numeric,,,,,,,0,,,mg/dl,,0,,
1230AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AB POSITIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: AB, Rh positive.",Misc,N/A,,,,,,,,,,,,,,
857AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,BLOOD UREA NITROGEN Imported,Measure of urea levels in the blood often used to assess kidney status.,LabTest,Numeric,,,,,,,0,,,mmol/L,,1,,
161488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Renal function panel Imported,,LabSet,N/A,,BLOOD UREA NITROGEN Imported;Serum creatinine (umol/L);Serum glucose Imported;Urea measurement (calculated) Imported;Urine routine and microscopy Imported,,,,,,,,,,,,
163426AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Combined % of monocytes, eosinophils and basophils Imported","A lab test obtained by summing the monocytes, eosinophils and basophils.",LabTest,Numeric,,,,50,,10,0,,1,%,,0,,
1016AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,RED CELL DISTRIBUTION WIDTH Imported,Measurement of the amount that red blood cells vary in size,LabTest,Numeric,,,,,,20,0,,10,%,,1,,
21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Haemoglobin Imported,"The iron-containing respiratory pigment in red blood cells of vertebrates, consisting of about 6 percent heme and 94 percent globin.",LabTest,Numeric,,,,,,17.8,0,7,10.4,g/dL,,1,,
1017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,MEAN CELL HEMOGLOBIN CONCENTRATION Imported,Average concentration of hemoglobin in a given volume of blood.,LabTest,Numeric,,,,,,37,0,,33,g/dL,,1,,
690AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,A POSITIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: A, Rh positive.",Finding,N/A,,,,,,,,,,,,,,
1006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,TOTAL CHOLESTEROL Imported,Test often used to help establish later risk of heart disease,LabTest,Numeric,,,,,,5.17,0,,,mmol/L,,1,,
699AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,O POSITIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: O, Rh positive.",Finding,N/A,,,,,,,,,,,,,,
160232AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Rhesus blood grouping test Imported,,LabTest,Coded,,,,,,,,,,,,,,
696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,B NEGATIVE Imported,"Describes a particular antigen combination on the surface of red blood cells: B, Rh negative.",Finding,N/A,,,,,,,,,,,,,,
300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,BLOOD TYPING Imported,"Blood typing tests are done before a person receives a blood transfusion and to check a pregnant woman's blood type. Human blood is classified, or typed, according to the presence or absence of certain markers (called antigens) on the surface of red blood cells.",LabTest,Coded,A NEGATIVE Imported;A POSITIVE Imported;AB NEGATIVE Imported;AB POSITIVE Imported;B NEGATIVE Imported;B POSITIVE Imported;O NEGATIVE Imported;O POSITIVE Imported,,,,,,,,,,,,,
161473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Blood grouping test Imported,,LabSet,N/A,,BLOOD TYPING Imported;Rhesus blood grouping test Imported,,,,,,,,,,,,
729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Platelets Imported,"Minute, nonnucleated, disklike cytoplasmic bodies found in the blood plasma of mammals, derived from a megakaryocyte and function to promote blood clotting.",LabTest,Numeric,,,,,,419,0,49,134,10^3/mL,,0,,
956992bc-f7fe-4cf5-b1a0-794b19ff7a88,,Biochemistry Order Set,,Department,N/A,,Renal function panel Imported;TOTAL BILIRUBIN Imported;TOTAL CHOLESTEROL Imported;BLOOD UREA NITROGEN Imported;Serum creatinine (umol/L);Serum glucose Imported;Urea measurement (calculated) Imported;Urine routine and microscopy Imported,,,,,,,,,,,,
678AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,WHITE BLOOD CELLS Imported,Blood test to measure the number of white blood cells.,LabTest,Numeric,,,,,,11,0,1.4,4,10^3/uL,,1,,
1336AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,NEUTROPHILS (%) - MICROSCOPIC EXAM Imported,"Test to find, count and examine Neutrophils the type of white blood cell which form an early line of defence against bacterial infections by using microscopic exam",LabTest,Numeric,,,,100,,,0,,,%,,0,,
1019AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,COMPLETE BLOOD COUNT Imported,"A broad screening test to check for such disorders as anemia, infection, and many other diseases. Includes white blood cell count, red blood cell count, hemoglobin, hematocrit, indices (MCV, MCH, MCHC, RDW), and often includes platelet count.",LabSet,N/A,,"Combined % of monocytes, eosinophils and basophils Imported;Haemoglobin Imported;HEMATOCRIT Imported;LYMPHOCYTES (%) - MICROSCOPIC EXAM Imported;MEAN CELL HEMOGLOBIN CONCENTRATION Imported;MEAN CORPUSCULAR HEMOGLOBIN Imported;MEAN CORPUSCULAR VOLUME Imported;NEUTROPHILS (%) - MICROSCOPIC EXAM Imported;Platelets Imported;RED BLOOD CELLS Imported;RED CELL DISTRIBUTION WIDTH Imported;WHITE BLOOD CELLS Imported",,,,,,,,,,,,
4eae0e35-eb07-44c4-a770-ef7854fc9e8c,,Hematology Order Set,,Department,N/A,,"Blood grouping test Imported;BLOOD TYPING Imported;Rhesus blood grouping test Imported;COMPLETE BLOOD COUNT Imported;Combined % of monocytes, eosinophils and basophils Imported;Haemoglobin Imported;HEMATOCRIT Imported;LYMPHOCYTES (%) - MICROSCOPIC EXAM Imported;MEAN CELL HEMOGLOBIN CONCENTRATION Imported;MEAN CORPUSCULAR HEMOGLOBIN Imported;MEAN CORPUSCULAR VOLUME Imported;NEUTROPHILS (%) - MICROSCOPIC EXAM Imported;Platelets Imported;RED BLOOD CELLS Imported;RED CELL DISTRIBUTION WIDTH Imported;WHITE BLOOD CELLS Imported",,,,,,,,,,,,
